n.d=no determined,,CRUISE,YEAR,MONTH,Analyst,Mesh Size,TOTAL DENSITY,BIOMASS,ASH,COPEPODOS,CALANOIDS,CYCLOPOIDA,HAPARCTICOIDA,POECILOSTOMATOIDA,,L.FISH,H.FISH,CHAETOGNATHA,CLADOCEROS,OSTRACODA,FORAMINIFERA,AMPHIPODS,ISOPODS,EUPHAUSIIDS,MISYDACEA,SERGESTID,L.CRUSTACEA,N.COPEPOD,COPEPODITE,N.CIRRIPEDIA,L.CYPRIS,L.DECAPODA,L.STOMATOPODA,L.EUPHAUSIID,L.SERGESTID,,POLICHAETES,L.CYPHONAUTES,MEDUSA,SIPHONOPHORES,CTENOPHORES,L.ECHINODERMS,PTEROPODS,HETEROPODS,GASTROPODS,L.CEPHALOPODA,L.BIVALVE,L.GASTROPOD,PROTOZOAN,RADIOLARIAN,FORAMINIFERA,,,APPENDICULARIANS,SALPS,DOLIOLIDS,BIVALVES,H.CRUSTACEA,L.ANFIOXUS,LUCIFER,JUV. GASTROPOD,,,,,,,,
,,140,2007,12,Luis Gonzalez,200,328,7.2,2.3,223.2,117.2,105.1,0.9,,,,,2.6,2.6,12.9,5.2,1.7,,,,,47.39,0.9,43.9,,,,,1.7,0.9,,0.9,,0.9,1.7,,,6.0,,,,,,,18.1,5.2,,,1.7,,,,,,,,,,,,,,,
,,141,2008,1,Luis Gonzalez,200,809,19.2,5.3,466.1,222.8,230.7,12.6,,,,,3.2,1.6,28.4,61.1,1.6,,0.8,,0.8,182.16,10.3,161.7,0.8,7.9,0.8,,0.8,,,6.3,2.4,0.8,1.6,,3.9,11.0,,,,3.9,,,5.5,61.1,,,7.9,,,,,,,,,,,,,,,
,,142,2008,2,Luis Gonzalez,200,996,19.4,4.9,679.7,295.8,378.4,5.5,,,,,8.3,1.4,20.6,24.8,2.8,,1.4,,,163.73,2.8,158.2,,,,,2.8,,,8.3,,1.4,4.1,,4.1,17.9,,,,5.5,,,30.3,24.8,,,15.1,1.4,,,,,,,,,,,,,,
,,143,2008,3,Luis Gonzalez,200,809,22.3,5.4,538.7,369.4,168.6,0.7,,,0.7,0.7,10.0,4.3,9.3,4.3,2.9,,,,,174.31,39.5,129.1,,4.3,1.4,,,,,5.7,0.7,,2.9,,,2.2,,,,1.4,,,,4.3,,,5.0,0.7,,,,,,,,,,,,,,
,,144,2008,4,Luis Gonzalez,200,2027,32.6,8.2,1266.3,670.3,591.4,4.5,,,3.4,1.1,20.3,37.2,18.0,63.1,1.1,,,,,454.00,118.3,326.7,,1.1,4.5,,3.4,,,13.5,,1.1,1.1,,,2.3,,1.1,,,,,,63.1,,,14.6,,,,,,,,,,,,,,,
,,145,2008,5,Luis Gonzalez,200,204,14.7,3.3,124.6,67.5,57.1,,,,6.2,,10.4,0.3,4.5,10.4,1.0,,1.7,,0.3,2.77,,,,0.3,1.7,0.3,0.4,,,2.1,,,1.7,,,7.6,0.3,,0.3,,,,1.0,10.4,,,24.2,0.7,1.0,,,,,1.1,,,,,,,,
,,146,2008,6,Luis Gonzalez,200,191,18.7,5.4,153.5,90.1,62.8,0.6,,,0.6,,4.8,,7.2,6.0,,,0.3,,,8.16,0.9,6.3,,0.3,0.3,,0.3,,,0.9,,,0.9,,0.3,2.2,,,,0.6,,,0.6,6.0,,,2.2,0.3,,,,,,,,,,,,,,
,,147,2008,7,Luis Gonzalez,200,985,9.6,2.9,655.3,409.6,241.6,4.2,,,2.1,,25.2,16.8,23.1,18.9,2.1,,,,,165.93,6.3,153.3,,6.3,,,,,,21.0,,,,,,6.3,,2.1,,2.1,,,,18.9,,,27.3,,2.1,,,,,,,,,,,,,
,,148,2008,8,Luis Gonzalez,200,962,10.6,2.7,521.2,275.7,243.3,2.2,,,2.2,,4.3,11.9,14.1,19.5,1.1,,,,,301.67,19.5,270.3,1.1,,5.4,,5.4,,,9.7,1.1,1.1,4.3,,,6.5,,,,,,,4.3,19.5,,,28.1,,,,,,,2.1,,,,,,,,
,,149,2008,9,Luis Gonzalez,200,433,9.5,3.1,299.7,167.0,124.2,8.6,,,1.7,,,6.9,36.0,12.0,8.6,,,,,20.55,,17.1,,1.7,,,1.7,,,10.3,,,5.1,,3.4,5.1,,3.4,,1.7,1.7,,3.4,12.0,,,5.1,1.7,,,,,,,,,,,,,,
,,150,2008,10,Luis Gonzalez,200,680,11.0,4.2,532.2,442.0,84.3,6.0,,,1.2,0.4,3.6,1.2,29.8,31.8,2.0,,0.8,,,2.78,0.8,,,,1.6,,,0.4,,7.6,,,1.2,,0.8,1.6,,,,,,,1.6,31.8,,,47.7,7.2,3.6,,,,,3.4,,,,,,,,
,,151,2008,11,Luis Gonzalez,200,338,6.3,2.2,315.0,205.7,109.4,,,,,,0.4,4.4,3.9,2.6,1.3,,,,0.9,0.88,0.4,,,,,,,0.4,,3.1,,,0.9,,,1.8,,,,,,,,2.6,,,0.4,1.3,,,,,,,,,,,,,,
,,152,2008,12,Luis Gonzalez,200,281,4.4,1.6,256.3,130.4,122.9,3.0,,,,,2.2,,4.8,5.2,,0.4,,,,2.24,,1.1,,,0.8,,0.4,,,2.2,,,1.1,,0.4,0.7,,,,0.4,,,,5.2,,,1.9,1.5,,,,,,,,,,,,,,
,,153,2009,1,Luis Gonzalez,200,973,21.3,6.3,534.5,352.5,162.7,19.4,,,0.8,0.4,1.2,0.4,4.3,2.3,3.9,,,,1.9,414.83,0.8,410.6,,,3.1,,,0.4,,1.2,,,,,0.4,0.8,1.2,,,,,,,2.3,,,1.2,,,,,,,,,,,,,,,
,,154,2009,2,Luis Gonzalez,200,661,25.3,16.9,367.8,267.7,98.8,1.3,,,1.9,,4.1,,15.9,2.5,1.6,,,,,221.82,38.2,181.7,,,1.6,,,0.3,,1.6,,,0.3,,,0.6,,,,0.3,0.3,,,2.5,,,1.9,0.3,,,,,,,,,,,,,,
,,155,2009,3,Luis Gonzalez,200,878,15.1,5.1,659.5,422.0,234.4,3.1,,,,,5.6,10.6,21.3,7.5,5.6,0.6,0.6,,,120.66,22.5,93.8,,1.3,1.3,,1.9,,,2.5,0.6,,9.4,,,3.1,,,,,,,0.6,7.5,,,2.5,,,,,,,,,,,,,,,
,,156,2009,4,Luis Gonzalez,200,1631,11.1,8.6,899.0,448.6,448.6,1.9,,,0.6,,21.7,15.5,15.5,27.8,6.8,,,,1.2,487.52,2.5,479.5,,0.6,2.5,,1.2,1.2,,40.2,,,1.2,,1.2,30.9,3.7,,,1.9,,,0.6,27.8,,,68.1,,,,,,,,,,,,,,,
,,157,2009,5,Luis Gonzalez,200,940,22.8,8.0,688.1,360.5,323.6,4.0,,,1.0,2.0,14.9,8.0,5.0,15.9,9.0,,,,,180.23,3.0,174.2,,,2.0,,1.0,,,4.0,,,1.0,,,4.0,,,,,,,1.0,15.9,,,,,,,,,,,,,,,,,,
,,158,2009,6,Luis Gonzalez,200,1156,15.5,3.5,819.2,400.1,416.4,2.6,,,1.3,0.7,5.9,65.3,2.6,124.1,2.6,,0.7,,,118.89,,114.3,,,2.6,,2.0,,,0.7,,,0.7,,0.7,6.5,,,,,,,,124.1,,,0.7,0.7,,,,,,,,,,,,,,
,,159,2009,7,Luis Gonzalez,200,446,9.9,5.3,211.7,127.0,84.7,,,,3.2,,1.1,3.2,7.4,37.1,1.1,,,,,49.76,11.7,37.1,,,1.6,,,,,3.2,,,3.2,,,,,,,,,,,37.1,,,37.1,74.1,,,,,,,,,,,,,,
,,160,2009,8,Luis Gonzalez,200,1317,19.3,5.7,1012.9,614.6,396.1,2.2,,,1.9,,8.7,5.5,3.3,27.3,7.6,,,,1.1,188.47,1.9,150.2,,15.3,6.6,,4.4,10.9,,,,,,,,8.7,4.4,,,2.2,3.3,,2.2,27.3,,,,,,,,,,,,,,,,,,
,,161,2009,9,Luis Gonzalez,200,1479,16.3,5.9,974.5,450.5,517.3,6.7,,,1.3,,5.3,4.0,,46.7,4.0,,1.3,9.3,4.0,351.1,2.7,333.7,,,12.0,,2.7,,,,,,6.7,,,46.7,2.7,,,1.3,,,,46.7,,,2.7,,,,,,,,,,,,,,,
,,162,2009,10,Luis Gonzalez,200,110,10.6,3.5,49.6,31.2,18.4,,,,1.1,,5.7,,10.2,7.4,0.6,,,,1.1,17.00,0.6,14.2,,,1.7,,0.6,,,1.1,,,,,0.6,2.3,,,,,,,1.1,7.4,,,9.6,,,,,,,,,,,,,,,
,,163,2009,11,Luis Gonzalez,200,652,9.3,2.6,589.0,350.9,238.1,,,,,,22.6,0.5,5.5,10.5,1.0,,,,,9.52,,8.0,,,,,1.5,,,1.0,,,2.0,,2.5,2.5,,,,0.5,,,1.5,10.5,,,1.5,,,,,,,,,,,,,,,
,,164,2009,12,Luis Gonzalez,200,1331,12.1,3.6,787.2,442.4,330.6,14.2,,,,2.0,2.0,26.4,20.3,32.6,2.0,,,,,338.69,20.3,269.5,2.0,30.5,8.1,,8.1,,,6.1,,,4.1,,4.1,18.3,,,,,,,4.1,32.6,,,6.1,4.1,4.1,,,,,,,,,,,,,
,,165,2010,1,Luis Gonzalez,200,1577,16.0,6.2,944.1,291.4,652.2,0.5,,,1.0,,12.7,,25.3,35.5,6.1,,,,,483.98,,481.4,,,2.0,0.5,,,,0.5,1.0,0.5,2.5,,,27.9,,,,,,,,35.5,,,32.9,0.5,,,,,,,,,,,,,,
,,166,2010,2,Luis Gonzalez,200,841,11.1,4.3,441.8,320.8,114.6,6.4,,,,,1.8,1.8,10.1,0.9,3.7,,,,,327.64,3.7,286.4,6.4,30.2,0.9,,,,,0.9,,,1.8,,,6.4,,,,0.9,,,,0.9,,,,,1.8,,,,,,,,,,,,,
,,167,2010,3,Luis Gonzalez,200,1437,12.1,3.0,816.2,177.7,637.9,0.6,,,0.6,5.6,1.9,,3.7,5.6,1.2,,,,,375.27,,373.4,,,1.2,,0.6,,,0.6,,,0.6,,,5.6,,,,,,,217.8,5.6,,,0.6,,,,,,,,,,,,,,,
,,168,2010,4,Luis Gonzalez,200,2215,18.0,9.1,1311.8,689.7,619.3,2.8,,,4.5,,1.1,1.1,4.5,154.8,2.8,,,,1.7,711.63,3.4,703.8,,,2.8,,,1.1,,0.6,0.6,,2.8,,1.1,3.9,,,,,,,2.8,154.8,,,,2.3,,,,,,,,,,,,,,
,,169,2010,5,Luis Gonzalez,200,849,8.2,2.4,361.0,219.9,138.9,2.3,,,,,1.2,,9.8,3.5,0.6,,,,0.6,386.48,72.3,309.5,,,2.3,,0.6,1.7,,0.6,,0.6,2.3,,,2.3,,,,,,,,3.5,,,2.9,,,,,,,,,,,,,,,
,,170,2010,6,Luis Gonzalez,200,296,7.9,3.3,189.9,103.3,84.6,2.0,,,0.5,,3.5,,3.5,4.0,2.0,0.5,,,,78.41,1.0,75.9,,,0.5,,1.0,,,,,,,,0.5,4.0,,,,,0.5,,0.5,4.0,,,6.0,,,,,,,,,,,,,,,
,,171,2010,8,Luis Gonzalez,200,729,8.3,3.2,410.5,142.1,263.2,5.3,,,1.3,,2.6,4.0,19.7,29.0,1.3,1.3,,,,213.16,5.3,205.3,,,,,1.3,1.3,,1.3,,,2.6,,,10.5,,,,,,,,29.0,,,21.1,,2.6,,,,,,,,,,,,,
,,172,2010,9,Luis Gonzalez,200,1038,6.6,2.5,585.1,214.8,365.9,4.5,,,0.6,,5.1,17.2,5.1,76.4,3.2,,,,,312.75,,310.2,,,1.9,,0.6,,,1.3,0.6,,7.6,,5.1,7.0,,,,1.9,,,,76.4,,,5.1,1.9,,,,,,,,,,,,,,
,,173,2010,10,Luis Gonzalez,200,817,5.9,2.1,335.2,175.4,158.7,1.1,,,1.1,0.6,2.8,11.1,7.8,10.0,0.6,,0.6,,,216.59,214.4,,0.6,,1.1,,,0.6,,1.7,0.6,,2.8,,,5.6,,,,0.6,,,,10.0,,,2.8,,,,,,,,,,,,,,,
,,174,2010,11,Luis Gonzalez,200,1063,5.9,2.1,649.6,341.5,304.9,3.2,,,1.9,1.1,4.5,0.4,34.0,10.4,1.0,,0.4,,,320.74,4.5,315.4,,,0.9,,,,,4.7,,,2.5,,1.4,20.1,,,,1.2,1.2,,,10.4,,,2.9,,,,,,,,,,,,,,,
,,175,2010,12,Luis Gonzalez,200,461,5.2,1.8,283.1,146.1,135.7,1.4,,,,0.7,0.7,0.7,2.8,18.8,1.4,,,,1.4,99.48,0.7,97.4,,,0.7,,0.7,,,1.4,0.7,,0.7,,,41.7,,,,4.2,0.7,,,18.8,,,,,,,,,,,,,,,,,,
,,176,2011,1,Luis Gonzalez,200,668,8.5,3.1,371.4,217.8,129.2,24.4,,,,,5.2,2.2,5.9,7.4,1.5,,,,1.5,212.64,36.9,173.5,,,1.5,,0.7,,,0.7,1.5,,4.4,,,5.9,,,,7.4,,,,7.4,,,0.7,0.7,,,,,,,,,,,,,,
,,177,2011,2,Luis Gonzalez,200,2499,25.9,9.4,1322.0,735.5,576.5,9.9,,,,2.0,9.9,129.2,11.9,8.0,2.0,,,,2.0,763.36,99.4,646.1,11.9,2.0,2.0,,2.0,,,6.0,,,6.0,,,2.0,,,,8.0,,,,8.0,,,109.3,,,,,,,,,,,,,,,
,,178,2011,3,Luis Gonzalez,200,1481,14.2,4.0,769.6,430.1,338.7,0.8,,,1.5,1.5,15.2,5.3,12.9,118.0,3.8,0.8,1.5,0.0,0.0,404.96,102.8,293.1,,1.5,3.8,0.0,3.8,0.0,,6.1,1.5,,2.3,,0.8,3.0,,,,,,,,118.0,,,19.0,0.8,,,,,,,,,,,,,,
,,179,2011,4,Luis Gonzalez,200,1605,15.4,3.6,579.1,228.0,342.0,9.1,,,,1.5,6.8,94.9,5.3,9.1,,0.0,0.0,0.0,0.0,725.00,95.0,627.0,,0.0,0.8,0.0,1.5,0.8,,5.3,,,3.0,,,4.6,,,,,,,,9.1,,,34.2,38.0,,,,,,,,,,,,,,
,,180,2011,5,Luis Gonzalez,200,448,16.1,4.7,284.0,122.3,160.5,1.1,,,0.8,0.4,5.0,2.7,10.7,4.2,1.9,0.4,0.0,0.0,0.0,125.74,0.8,120.4,,0.4,1.5,0.4,2.3,,,0.8,,0.4,2.3,,0.4,3.1,,,,,,,,4.2,,,,,,,,,,,,,,,,,,
,,181,2011,6,Luis Gonzalez,200,510,9.8,3.1,371.1,189.4,180.5,1.2,,,,0.6,5.3,0.6,7.1,14.8,,0.0,0.0,0.0,0.0,94.12,,88.8,,0.0,3.6,0.0,1.8,,,,,,,,,0.6,,1.8,,0.6,,,,14.8,,,7.7,,,,,,,,,,,,,,,
,,182,2011,7,Luis Gonzalez,200,1478,21.3,8.1,670.8,396.0,272.9,2.0,,,0.7,2.0,2.7,4.0,22.0,14.6,4.0,,,,,298.87,2.7,179.7,,,2.0,,2.0,0.7,,0.7,,,2.0,,,2.7,,1.3,,0.7,,,,14.6,,,6.7,3.3,,,,,,,,,,,,,,
,,183,2011,8,Luis Gonzalez,200,1151,18.6,6.9,607.3,404.2,202.1,1.1,,,1.1,2.1,6.4,,19.1,101.0,5.3,,,,,304.19,2.1,297.8,,,1.1,,3.2,,,2.1,,,1.1,,,3.2,,,,,,,,101.0,,,90.4,1.1,,,,,,,,,,,,,,
,,184,2011,9,Luis Gonzalez,200,732,11.6,4.3,571.7,257.2,311.6,2.9,,,0.7,,2.9,,9.4,3.6,0.7,,,,,66.66,,65.2,,,0.7,,0.7,,,1.5,,,0.7,,,2.2,0.7,,,,,,0.7,3.6,,,68.8,,,,,,,,,,,,,,,
,,185,2011,10,Luis Gonzalez,200,798,10.4,4.0,566.2,270.6,290.3,5.2,,,0.9,,1.3,28.4,10.9,7.9,1.3,,,,,149.73,0.9,148.4,,0.4,,,,,,0.3,,0.4,,,,3.9,,,,0.4,,,,7.9,,,24.0,0.9,,,,,,,,,,,,,,
,,186,2011,11,Luis Gonzalez,200,305,7.7,1.9,167.1,80.6,85.7,0.8,,,,,,0.8,10.2,30.7,1.0,,,,,50.40,0.8,47.3,0.3,,0.3,0.3,1.5,,,9.0,,0.3,0.5,,1.3,3.8,,,0.5,0.3,,,12.8,30.7,,,11.5,1.5,,,,,,,,,,,,,,
,,187,2012,1,Luis Gonzalez,200,1051,27.3,14.6,677.5,553.5,103.3,20.7,,,1.5,8.9,19.2,22.1,39.9,4.4,0.0,,,,0.0,219.93,88.6,103.3,1.5,22.1,1.5,,3.0,,,1.5,,,,,,7.4,,,,0.0,0.0,4.4,0.0,4.4,,,44.3,1.5,3.0,,,,,,,,,,,,,
,,188,2012,2,Luis Gonzalez,200,712,31.7,16.0,418.6,317.1,99.7,1.8,,,1.8,1.8,12.7,0.0,27.2,7.2,1.8,,,,1.8,192.06,32.6,145.0,0.0,7.2,1.8,,5.4,,,3.6,,,,,1.8,1.8,,,,0.0,0.0,10.9,3.6,7.2,,,34.4,1.8,,,,,,,,,,,,,,
,,189,2012,3,Luis Gonzalez,200,318,17.9,8.4,196.8,106.5,88.7,1.6,,,,,2.3,1.0,5.5,0.6,0.3,,,,0.0,97.11,24.2,67.7,2.3,2.6,0.3,,,,,2.6,0.6,,9.0,,0.3,0.6,,,,1.3,0.3,,0.0,0.6,,,0.0,,,,,,,,,,,,,,,
,,190,2012,4,Luis Gonzalez,200,1869,33.4,16.9,1186.2,680.5,504.5,1.2,,,3.5,1.2,3.5,3.5,10.6,70.4,8.2,,,,0.0,535.04,170.1,357.9,0.0,,,,7.0,,,1.2,2.3,2.3,2.3,,4.7,14.1,,,,,,,1.2,70.4,,,14.1,2.3,2.3,,,,,0.3,,,,,,,,
,,193,2012,7,Luis Gonzalez,200,659,6.4,2.0,574.4,260.0,314.4,0.0,,,1.8,0.6,3.6,3.0,3.0,3.6,0.0,,,,0.0,38.70,1.2,33.3,1.2,,1.8,,1.2,,,1.8,1.8,1.2,0.6,,,4.2,0.6,,,,,,1.2,3.6,,,10.3,7.9,0.6,,,,,,,,,,,,,
,,194,2012,8,Luis Gonzalez,200,559,8.0,2.8,368.0,85.6,280.1,2.3,,,0.8,,3.9,18.7,20.2,10.1,0.0,,0.8,,0.0,115.91,6.2,108.9,0.0,,0.8,,,,,0.8,0.8,,,,,7.8,,,,2.3,,,0.8,10.1,,,7.8,,,,,,,,,,,,,,,
,,196,2012,10,Luis Gonzalez,200,867,9.3,3.5,498.0,225.5,270.6,1.8,,,,,4.5,0.0,24.4,11.7,0.9,,1.8,,0.0,239.96,0.0,234.6,1.8,,1.8,,1.8,,,0.9,0.9,,,,,13.5,,,,0.9,,,63.1,11.7,,,6.3,,,,,,,,,,,,,,,
,,197,2012,11,Luis Gonzalez,200,914,7.3,3.3,597.5,360.5,234.3,2.7,,,,,5.4,0.0,12.6,45.1,0.0,,,,0.0,210.89,3.6,202.8,2.7,,0.9,,0.9,,,0.9,,,,,,9.9,,,,2.7,0.9,,21.6,45.1,,,6.3,,,,,,,,,,,,,,,
,,198,2012,12,Luis Gonzalez,200,462,9.6,3.9,295.0,225.7,66.9,2.5,,,,,5.0,0.0,9.2,46.0,0.8,0.8,,,0.0,80.24,5.0,75.2,0.0,,,,,,,1.7,1.7,,1.7,,3.3,1.7,,,,,,,4.2,46.0,,,10.9,,,,,,,0.9,,,,,,,,
,,199,2013,3,Luis Gonzalez,200,660,,,495.1,345.6,149.5,0.0,,,0.9,,0.9,6.5,14.9,19.6,1.9,,,,0.0,88.74,0.9,84.1,0.9,,,,2.8,,,4.7,0.0,,,,1.9,7.5,,,,0.9,0.9,,3.7,19.6,,,5.6,,5.6,,,,,,,,,,,,,
,,200,2013,4,Luis Gonzalez,200,826,17.8,,594.5,420.1,173.5,0.9,,,1.8,,8.2,0.9,14.6,17.4,0.9,,,,0.0,170.78,63.9,100.5,2.7,,0.9,,2.7,,,0.9,0.9,,1.8,,0.9,3.7,,,,1.8,,,0.9,17.4,,,5.5,,0.9,,,,,0.9,,,,,,,,
,,201,2013,5,Luis Gonzalez,200,827,18.1,6.8,565.0,335.5,225.1,4.4,,,2.6,,16.8,11.5,15.9,6.2,3.5,,0.9,,0.9,175.68,5.3,163.3,,,1.8,,5.3,,,0.9,,,,,,12.4,,,,,,,0.0,6.2,,,13.2,,,,,,,,,,,,,,,
,,202,2013,6,Luis Gonzalez,200,1475,16.9,4.0,1359.5,870.4,488.2,0.9,,,3.7,3.7,5.5,4.6,13.8,17.5,0.9,,,,0.0,46.05,3.7,33.2,,,2.8,,6.4,,,0.9,,,0.9,,,8.3,0.9,,,0.9,,,0.9,17.5,,,4.6,1.8,,,,,,,,,,,,,,
,,203,2013,7,Jaimie Rojas Marquez,200,1251,,,948.9,669.3,72.0,4.2,203.3,,3.8,1.3,8.1,2.5,8.9,,1.3,,0.4,0.4,1.7,216.04,29.7,182.2,,,3.8,,,0.4,,1.7,,3.0,3.8,,,,,,,,,,,,,,47.9,,1.7,,,,,,,,,,,,,
,,204,2013,8,Jaimie Rojas Marquez,200,273,7.3,3.2,146.7,108.5,15.0,3.4,19.8,,0.5,0.5,14.0,2.9,5.8,42.6,2.4,,,,,68.26,,60.0,0.5,,1.5,,0.5,2.9,,0.5,,,,,0.5,1.9,3.9,,,1.5,,42.6,,42.6,,,0.5,,,,,,,,,,,,,,,
,,205,2013,9,Jaimie Rojas Marquez,200,449,9.6,2.1,325.8,132.6,14.1,9.9,169.3,,0.4,1.4,1.9,,24.0,79.0,,,,,,2.47,,,,1.4,1.1,,,,,,,,0.7,,,1.4,0.2,,,1.4,7.1,,,79.0,,,,,,,,,,,,,,,,,,
,,206,2013,10,Jaimie Rojas Marquez,200,68,5.0,1.7,51.7,32.2,2.2,0.9,16.4,,,,,,1.5,,0.9,,0.2,,0.0,7.21,,6.2,,,0.6,,0.1,0.2,,,,,0.4,,,,,,,,,,,5.2,,,,,,,,,,,,,,,,,,
,,207,2013,11,Jaimie Rojas Marquez,200,406,9.8,1.9,299.9,166.5,36.0,1.5,96.0,,0.1,0.7,0.9,,12.0,10.5,0.3,,,,0.1,79.48,15.0,52.5,,,12.0,,,,,0.1,,,1.3,,0.1,,,,,,,10.5,,10.5,,,,,,,,,,,,,,,,,,
,,208,2013,12,Jaimie Rojas Marquez,200,265,4.4,1.7,180.6,90.3,24.8,8.9,56.6,,,,0.1,0.1,0.6,17.9,,,,,,64.18,,63.5,0.2,,0.4,,,,,0.4,,,0.3,,0.3,,,,,,,18.0,,17.9,,,,,,,,,,,,,,,,,,
,,209,2014,1,Jaimie Rojas Marquez,200,327,15.7,3.6,240.7,153.5,4.9,2.5,79.8,,,4.9,8.9,0.3,11.4,4.0,1.2,0.0,0.0,,2.1,50.97,9.8,38.1,0.0,2.8,0.3,,,,,,,,,,0.6,1.2,,0.3,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,
,,210,2014,2,Jaimie Rojas Marquez,200,730,5.0,0.7,644.5,358.8,56.8,1.6,227.3,,0.3,6.8,2.9,2.3,5.5,23.4,0.0,0.3,0.6,,0.3,33.12,4.2,27.6,0.6,,0.6,,,,,,,,0.3,0.3,,0.3,1.6,,,6.2,0.3,23.4,,23.4,,,,,,,,,,,,,,,,,,
,,211,2014,4,Jaimie Rojas Marquez,200,322,9.4,2.4,141.6,91.3,4.1,0.5,45.7,,,1.5,1.5,0.3,10.7,7.6,0.5,1.5,0.0,,0.3,151.23,89.8,53.3,6.1,,2.0,,,,,,,,0.3,,,0.8,,,,,1.5,9.1,,7.6,,,1.5,,,,,,,,,,,,,,,
,,212,2014,5,Jaimie Rojas Marquez,200,625,13.8,3.8,419.0,210.8,34.3,5.3,168.7,,1.5,1.5,5.0,4.7,4.1,55.3,0.3,,,,0.6,129.72,10.5,113.3,2.6,,3.2,,,,,0.3,,,3.8,,,,,,,,,55.3,,55.3,,,,,,,,,,,,,,,,,,
,,213,2014,6,Jaimie Rojas Marquez,200,609,27.5,12.7,493.3,285.2,30.6,4.4,173.2,,,,14.6,5.8,10.2,13.1,,,0.3,,0.9,60.82,7.3,49.5,1.5,,2.6,,,,,,,,2.9,,1.2,1.5,,,,,1.7,13.1,,13.1,,,2.9,,,,,,,,,,,,,,,
,,214,2014,9,Jaimie Rojas Marquez,200,825,16.7,5.2,745.1,333.0,61.3,3.0,347.9,,,,15.6,3.0,8.9,8.3,2.7,,,,0.7,24.52,3.3,14.9,1.7,,4.6,,,,,0.7,,,,,,0.3,,,,,,8.3,,8.3,,,14.9,,,,,,,,,,,,,,,
,,215,2014,10,Jaimie Rojas Marquez,200,189,7.2,3.5,149.3,107.1,3.1,0.6,38.6,,,0.2,0.8,0.8,0.2,27.0,,,0.8,1.9,,2.12,1.0,,,0.2,1.0,,,,,1.0,,,2.9,,,1.0,1.0,,,,,27.0,,27.0,,,,,,,,,,,,,,,,,,
,,216,2014,11,Jaimie Rojas Marquez,200,169,5.1,1.7,131.7,85.3,11.0,2.2,33.1,,,,1.8,0.0,13.2,17.7,0.4,,,,0.4,2.57,0.4,1.8,,,0.4,,,,,,,,,,1.1,0.4,,,,,0.4,17.7,,17.7,,,,,,,,,,,,,,,,,,
,,217,2014,12,Jaimie Rojas Marquez,200,511,11.7,4.0,233.4,126.1,26.6,1.1,79.7,,0.2,,13.3,39.8,13.3,15.9,2.7,5.3,,,0.2,122.37,39.8,79.7,,,2.7,,,0.2,,,,,1.1,,,15.9,,,,15.9,15.9,15.9,,15.9,,,15.9,,,,,,,,,,,,,,,
,,219,2015,3,Jaimie Rojas Marquez,200,634,16.4,2.2,337.8,186.8,50.0,0.8,100.1,,,,2.1,2.1,13.3,,,0.4,1.3,0.4,,271.09,166.8,100.1,1.7,0.8,1.7,,,,,1.3,,1.3,0.8,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,220,2015,4,Jaimie Rojas Marquez,200,59,6.1,2.0,45.0,40.7,2.2,,2.2,,0.3,,0.6,1.3,1.3,3.4,0.3,,,,,4.38,,3.4,0.6,,0.3,,,,,,,0.6,0.6,,,,,,0.3,,0.6,3.4,,3.4,,,,,,,,,,,,,,,,,,
,,221,2015,7,Jaimie Rojas Marquez,200,487,9.8,2.0,391.7,144.2,119.9,9.1,118.4,,0.3,,33.4,1.3,10.6,9.1,4.6,,,,0.3,29.35,12.1,12.7,1.5,,3.0,,,,,0.3,,,4.6,,0.3,,,,,0.5,,9.1,,9.1,,,0.8,,,,,,,,,,,,,,,
,,222,2015,8,Jaimie Rojas Marquez,200,713,16.3,5.2,518.8,249.8,134.5,6.4,128.1,,0.4,,22.4,76.9,9.6,,1.4,0.7,,,1.4,60.84,44.8,12.8,1.1,0.4,1.8,,,,,0.4,,1.1,6.4,,,3.2,,,,,,,,,,,9.6,,,,,,,,,,,,,,,
,,223,2015,9,Jaimie Rojas Marquez,200,779,12.1,4.3,643.1,241.7,160.0,1.5,239.9,,,,28.4,16.0,12.4,10.7,,10.7,,,,39.10,26.7,3.6,1.8,,7.1,,,,,,,,,,0.3,,,,,0.6,,10.7,,10.7,,,17.8,,,,,,,,,,,,,,,
,,224,2015,11,Jaimie Rojas Marquez,200,1560,6.4,1.3,1058.9,551.5,141.2,17.6,348.6,,8.8,,88.2,26.5,4.4,110.3,1.5,,,,2.9,246.35,61.8,176.5,4.4,,3.7,,,,,,,,1.5,,4.4,,,,,,1.5,110.3,,110.3,,,4.4,,,,,,,,,,,,,,,
,,225,2015,12,Jaimie Rojas Marquez,200,263,5.7,1.6,193.8,115.5,31.9,6.6,39.8,,0.4,,5.3,,10.6,8.0,0.9,1.3,,,2.7,30.54,,26.6,,2.7,1.3,,,,,,,,,,0.4,2.7,,,,6.6,,8.0,,8.0,,,,,,,,,,,,,,,,,,
,,226,2016,1,Jaimie Rojas Marquez,200,480,7.2,2.2,289.4,132.5,50.8,6.6,99.4,,,,53.0,1.0,13.3,6.1,0.5,,,,2.0,109.23,1.0,99.4,,2.2,6.6,,,,,,,,,,0.5,0.2,,,,0.2,,,,6.1,,,4.4,,,,,,,,,,,,,,,
