unlimited,year,ISO_DateTime_UTC,ISO_DateTime_local,month,day,hour,Date,decimal_year,Longitude,Latitude,Cruise_number,Cruise_Leg,Station,Cast_number,Biogeochemical_Cruise_ID,Core_CARIACO_ID,Notes,Comments,Depth,Corrected_Depth,Winkler_O2_avg,Winkler_O2_flags,NO3,NO2,NH4,PO4,H2S,H2S_comment,CH4,CH4_comment,Acetate,Propionate,Incorporation_Acetate_Uptake_rate_constant,Respiration_Acetate_Uptake_rate_constant,Total_Acetate_uptake_rate_constant,Sulfite,SD_Sulfite,Thiosulfate,SD_Thiosulfate,Particulate_Elemental_sulfur,SD_Particulate_Elemental_sulfur,Particulate_element_sulfur_flags,Total_zero_valent_sulfur,SD_Total_zero_valent_sulfur,Total_zero_valent_Sulfur_flags,Total_Prokaryote_Cell_Density,SD_Total_Prokaryotes,Total_Prokaryote_Biomass_Estimates,SD_Prokaryote_Biomass_Estimates,Cyanobacteria,SD_Cyanobacteria,Methanogens,SD_Methanogens,Flagellated_Protists,SD_Flagellated_Protists,Ciliated_Protists,SD_Ciliated_Protists,Viral_Like_Particles_VLP,SD_Viral_Like_Particles_VLP,Heterotrophic_Bacterial_Production,SD_Heterotrophic_Bacterial_Production,Dark_carbon_fixation_rate,SD_Dark_carbon_fixation_rate,dissolved_Mn,SD_dissolved_Mn,dissolved_Fe,SD_dissolved_Fe
137,1998,1998-07-07 18:00:00,1998-07-07 14:00:00,7,7,,b'1998-07-07',1998.5164,-64.67,10.5,32,1,CAR,1,CAR-32,93HG_32,cast 1: 7 July 1998; in water at 1400; on deck at 1435,nan,330,332.0,,,,,,,0.3094907407407407,a,0.5773299164901158,n.f.,3.9,,0.05184,0.0144,0.06624,,,,,,,n.f.,,,n.f.,421498857.5951892,101367873.40684304,15.023023750020382,3.612944477165396,,,,,36140.06641097897,,,,1602554656.469235,582563893.9869294,0.26,0.1,17.65,0.94,,,,
138,1998,1998-07-07 18:00:00,1998-07-07 14:00:00,7,7,,b'1998-07-07',1998.5164,-64.67,10.5,32,1,CAR,1,CAR-32,93HG_32,cast 1: 7 July 1998; in water at 1400; on deck at 1435,nan,350,350.0,,,,,,,1.2158564814814814,n.f.,0.8924931225386815,n.f.,6.65,,0.03096,0.008879999999999999,0.03984,,,,,,,n.f.,,,n.f.,444395091.83492786,90856420.41496302,15.839089237675813,3.2382962305599503,,,,,72280.13282195794,,,,3275662033.6635303,1179238332.1188712,0.25,0.02,26.77,1.69,,,,
139,1998,1998-07-07 22:29:00,1998-07-07 18:29:00,7,7,,b'1998-07-07',1998.5164,-64.67,10.498,32,1,CAR,2,CAR-32,93HG_32,cast 2: 7 July 1998; in water at 1829; on deck at 1940,nan,370,373.0,,,,,,,2.0227430555555554,n.f.,0.8701229623617963,n.f.,3.35,,0.036000000000000004,0.020880000000000003,0.05687999999999999,,,,,,,n.f.,,,n.f.,455843208.95479727,87526059.07100102,16.247121981503525,3.1195957959918865,,,,,83109.56038761715,,,,1118764571.4973905,278179298.8588106,0.45,0.1,28.11,2.49,,,,
140,1998,1998-07-07 22:29:00,1998-07-07 18:29:00,7,7,,b'1998-07-07',1998.5164,-64.67,10.498,32,1,CAR,2,CAR-32,93HG_32,cast 2: 7 July 1998; in water at 1829; on deck at 1940,nan,390,392.0,,,,,,,2.608564814814815,n.f.,1.16558649310893,n.f.,3.9,,0.03744,0.013680000000000001,0.05112,,,,,,,n.f.,,,n.f.,451680257.2748448,70457957.18319584,16.09874643829345,2.5112560688305683,,,,,86005.80264354928,,,,1400975454.397633,390055756.0085496,0.25,0.01,20.0,5.65,,,,
141,1998,1998-07-07 22:29:00,1998-07-07 18:29:00,7,7,,b'1998-07-07',1998.5164,-64.67,10.498,32,1,CAR,2,CAR-32,93HG_32,cast 2: 7 July 1998; in water at 1829; on deck at 1940,nan,410,414.0,,,,,,,5.382928240740742,n.f.,1.962078404791828,n.f.,3.5,,0.03552,0.02232,0.05784,,,,,,,n.f.,,,n.f.,309099162.2364722,49955420.15942984,11.016884083348284,1.780506518520934,,,,,13725.669821591318,,,,1048211850.7723297,315471451.2420569,0.03,0.02,2.14,0.25,,,,
142,1998,1998-07-07 22:29:00,1998-07-07 18:29:00,7,7,,b'1998-07-07',1998.5164,-64.67,10.498,32,1,CAR,2,CAR-32,93HG_32,cast 2: 7 July 1998; in water at 1829; on deck at 1940,nan,500,505.0,,,,,,,13.577064043209875,n.f.,4.775969763216117,n.f.,1.2,,0.005520000000000001,0.00936,0.01488,,,,,,,n.f.,,,n.f.,135295929.59845582,,6.505882637407588,,,,,,26443.951032423643,,,,623887630.4116077,280195090.8795266,0.0,0.01,0.52,0.1,,,,
143,1998,1998-07-07 22:29:00,1998-07-07 18:29:00,7,7,,b'1998-07-07',1998.5164,-64.67,10.498,32,1,CAR,2,CAR-32,93HG_32,cast 2: 7 July 1998; in water at 1829; on deck at 1940,nan,1000,1000.0,,,,,,,32.739699074074075,n.f.,9.259989828740807,n.f.,1.7,,0.00168,,,,,,,,,n.f.,,,n.f.,,,,,,,,,1951.8154333455545,,,,3678820437.8067346,2096423701.5446594,,,,,,,,
144,1998,1998-07-07 22:29:00,1998-07-07 18:29:00,7,7,,b'1998-07-07',1998.5164,-64.67,10.498,32,1,CAR,2,CAR-32,93HG_32,cast 2: 7 July 1998; in water at 1829; on deck at 1940,nan,1300,1297.0,,,,,,,39.49691358024692,n.f.,12.359431847014381,n.f.,4.45,,0.0012,,,,,,,,,n.f.,,,n.f.,93562339.00693215,46312837.43947142,4.499068070022632,2.2270136720356737,,,,,1951.8154333455545,,,,2227450182.8912005,593650750.1008675,0.0,0.01,0.26,0.15,,,,
145,1998,1998-07-08 03:02:00,1998-07-07 23:02:00,7,7,,b'1998-07-07',1998.5164,-64.67,10.498,32,1,CAR,3,CAR-32,93HG_32,cast 3: 7 July 1998; in water at 2302; on deck at 2327,nan,7,6.0,,,,,,,,n.f.,0.014138754398757662,a,4.866666666666666,,0.12192,0.15864,0.28056000000000003,,,,,,,n.f.,,,n.f.,199821680.63771936,55367257.34336808,6.519469845056197,1.8064364362343217,,,,,3903.630866691109,,,,5543428056.96905,1128843531.6009705,4.35,0.51,5.24,1.24,,,,
146,1998,1998-07-08 03:02:00,1998-07-07 23:02:00,7,7,,b'1998-07-07',1998.5164,-64.67,10.498,32,1,CAR,3,CAR-32,93HG_32,cast 3: 7 July 1998; in water at 2302; on deck at 2327,nan,25,26.0,,,,,,,,n.f.,0.012290445882732941,a,2.1,,0.054479999999999994,0.04632,0.1008,,,,,,,n.f.,,,n.f.,574487331.8334433,110318219.51874092,18.743475804536573,3.599290643624776,,,,,53769.3670992614,,,,2761635068.380945,966572273.933331,4.32,0.33,5.53,0.1,,,,
147,1998,1998-07-08 03:02:00,1998-07-07 23:02:00,7,7,,b'1998-07-07',1998.5164,-64.671,10.498,32,1,CAR,3,CAR-32,93HG_32,cast 3: 7 July 1998; in water at 2302; on deck at 2327,nan,50,52.0,125.59384262192738,,,,,,,n.f.,0.01862825602192916,a,2.733333333333333,,0.01224,,,,,,,,,n.f.,,,n.f.,263306693.7569948,54430593.21537876,8.590759743745927,1.7758764213356204,,,,,12718.28121083232,,,,1834370738.851577,511003277.25151074,0.83,0.11,1.82,0.42,,,,
148,1998,1998-07-08 03:02:00,1998-07-07 23:02:00,7,7,,b'1998-07-07',1998.5164,-64.671,10.498,32,1,CAR,3,CAR-32,93HG_32,cast 3: 7 July 1998; in water at 2302; on deck at 2327,nan,100,104.0,112.20955252161505,,,,,,,n.f.,0.019338416304442163,a,3.9,,0.00504,,,,,,,,,n.f.,,,n.f.,219595701.1174937,48914682.23944172,7.1646257151398824,1.5959118891543818,,,,,4885.83476218113,,,,1904923459.5766375,693432455.1263106,0.17,0.03,0.52,0.36,,,,
149,1998,1998-07-08 03:02:00,1998-07-07 23:02:00,7,7,,b'1998-07-07',1998.5164,-64.671,10.498,32,1,CAR,3,CAR-32,93HG_32,cast 3: 7 July 1998; in water at 2302; on deck at 2327,nan,150,151.0,81.41337232334426,,,,,,,n.f.,0.0263227607678022,n.f.,1.6333333333333335,,0.005520000000000001,,,,,,,,,n.f.,,,n.f.,128010764.15853897,39548040.95954862,4.4057497034373165,1.3611259246391714,,,,,8802.057986506727,,,,1320343773.5689926,519066445.3343749,0.12,0.02,0.78,0.15,,,,
150,1998,1998-07-08 03:02:00,1998-07-07 23:02:00,7,7,,b'1998-07-07',1998.5164,-64.671,10.498,32,1,CAR,3,CAR-32,93HG_32,cast 3: 7 July 1998; in water at 2302; on deck at 2327,nan,200,199.0,26.888123111818754,,,,,,,n.f.,0.03211729404363452,n.f.,1.5,,0.0031199999999999995,,,,,,,,,n.f.,,,n.f.,201903156.4776956,61923906.23929323,6.948906036315768,2.131236645158702,,,,,19518.154333455543,,,,1864607619.1623173,777087823.9860253,0.12,0.02,,,,,,
151,1998,1998-07-08 10:17:00,1998-07-08 06:17:00,7,8,,b'1998-07-08',1998.5191,-64.67399999999999,10.495999999999999,32,1,CAR,4,CAR-32,93HG_32,cast 4: 8 July 1998; in water 0617; on deck 0721,nan,320,321.0,,,,,,,,n.f.,,n.f.,,,,,,,,,,,,n.f.,,,n.f.,495391249.91434586,67023522.04723504,17.656689641999264,2.3888462456822537,,,,,,,,,,,0.55,0.2,22.76,0.82,,,,
152,1998,1998-07-08 10:17:00,1998-07-08 06:17:00,7,8,,b'1998-07-08',1998.5191,-64.67399999999999,10.495999999999999,32,1,CAR,4,CAR-32,93HG_32,cast 4: 8 July 1998; in water 0617; on deck 0721,nan,750,749.0,,,,,,,31.67858796296296,n.f.,8.650348769261164,n.f.,,,,,,,,,,,,n.f.,,,n.f.,,,,,,,,,,,,,,,,,,,,,,
153,1998,1998-07-08 10:17:00,1998-07-08 06:17:00,7,8,,b'1998-07-08',1998.5191,-64.67399999999999,10.495999999999999,32,1,CAR,4,CAR-32,93HG_32,cast 4: 8 July 1998; in water 0617; on deck 0721,nan,1265,1353.0,,,,,,,,n.f.,11.507131477227967,n.f.,,,,,,,,,,,,n.f.,,,n.f.,,,,,,,,,,,,,,,,,,,,,,
154,1998,1998-11-07 06:08:00,1998-11-07 02:08:00,11,7,,b'1998-11-07',1998.8497,-64.67,10.498,36,2,CAR,1,CAR-36,93HG_36,Cast 1: Nov 7; 1998.  in water 0208; on deck 0255,nan,270,272.0,,,,,,,1.115445402298851,n.f.,0.2306104669476032,n.f.,3.1,,0.00576,0.007680000000000002,0.01344,,,,,,,n.f.,,,n.f.,230835821.8277496,78526341.21537602,8.2274292591424,2.798828674913739,,,,,12706.284341718723,,,,130920317.04438797,8427995.409732474,0.01,0.01,0.0,0.0,,,,
155,1998,1998-11-07 06:08:00,1998-11-07 02:08:00,11,7,,b'1998-11-07',1998.8497,-64.67,10.498,36,2,CAR,1,CAR-36,93HG_36,Cast 1: Nov 7; 1998.  in water 0208; on deck 0255,nan,285,286.0,,,,,,,1.0971503831417624,n.f.,0.00791174781144563,a,2.2333333333333334,,0.00144,0.0036,0.00504,,,,,,,n.f.,,,n.f.,120161112.73225322,31726749.94070897,4.282771395170017,1.130801921005417,,,,,10882.751354314749,,,,127413522.83784184,7411025.089834103,0.06,0.01,1.25,0.36,,,,
156,1998,1998-11-07 06:08:00,1998-11-07 02:08:00,11,7,,b'1998-11-07',1998.8497,-64.67,10.498,36,2,CAR,1,CAR-36,93HG_36,Cast 1: Nov 7; 1998.  in water 0208; on deck 0255,nan,295,298.0,,,,,,,1.085715996168582,n.f.,0.036274712409628006,n.f.,2.066666666666667,,0.00456,0.0036,0.008159999999999999,,,,,,,n.f.,,,n.f.,206592790.31159332,52386028.97186831,7.363361346081784,1.8671380556135957,,,,,29036.25603020176,,,,199887269.77312803,11023023.122576592,0.21,0.07,0.44,0.0,,,,
157,1998,1998-11-07 06:08:00,1998-11-07 02:08:00,11,7,,b'1998-11-07',1998.8497,-64.67,10.498,36,2,CAR,1,CAR-36,93HG_36,Cast 1: Nov 7; 1998.  in water 0208; on deck 0255,nan,305,307.0,,,,,,,1.4584770114942534,n.f.,0.0867211481942599,n.f.,5.6,,0.0012,0.00528,0.00648,,,,,,,n.f.,,,n.f.,258240987.8894916,63453499.88141794,9.20420168260223,2.261603842010834,,,,,,,,,1070741164.3987443,74577823.45921385,0.06,0.01,0.16,0.14,,,,
158,1998,1998-11-07 06:08:00,1998-11-07 02:08:00,11,7,,b'1998-11-07',1998.8497,-64.67,10.498,36,2,CAR,1,CAR-36,93HG_36,Cast 1: Nov 7; 1998.  in water 0208; on deck 0255,nan,318,321.0,,,,,,,1.4035919540229884,n.f.,0.37944506893092106,n.f.,3.5,,0.0612,0.01872,0.07992,,,,,,,n.f.,,,n.f.,212917059.4027645,83058734.06404874,7.588770366880206,2.960371806485942,,,,,24500.802189735463,,,,137933905.45748016,8439684.723754294,0.28,0.03,11.22,0.96,,,,
159,1998,1998-11-07 06:08:00,1998-11-07 02:08:00,11,7,,b'1998-11-07',1998.8497,-64.67,10.498,36,2,CAR,1,CAR-36,93HG_36,Cast 1: Nov 7; 1998.  in water 0208; on deck 0255,nan,325,328.0,,,,,,,1.5636733716475093,n.f.,0.4825711063128487,n.f.,3.5,,0.06527999999999999,0.013919999999999998,0.0792,,,,,,,n.f.,,,n.f.,269835481.2233055,97604552.97374256,9.617451554066003,3.4788125543223125,,,,,20865.42552894933,,,,161312533.50112087,13559604.26531161,0.2,0.04,3.59,2.39,,,,
160,1998,1998-11-07 12:20:00,1998-11-07 08:20:00,11,7,,b'1998-11-07',1998.8497,-64.673,10.497,36,2,CAR,2,CAR-36,93HG_36,Cast 2: Nov 7; 1998.  in water 0820; on deck 0938,nan,340,343.0,,,,,,,2.181130268199233,n.f.,0.5578515100016835,n.f.,2.2,,0.010320000000000001,0.00096,0.01128,,,,,,,n.f.,,,n.f.,411077490.9261295,52175220.00216259,14.651586351897425,1.8596244215869808,,,,,12706.284341718723,,,,121568865.82693169,4044502.6515498417,0.13,0.01,9.78,1.13,,,,
161,1998,1998-11-07 12:20:00,1998-11-07 08:20:00,11,7,,b'1998-11-07',1998.8497,-64.673,10.497,36,2,CAR,2,CAR-36,93HG_36,Cast 2: Nov 7; 1998.  in water 0820; on deck 0938,nan,365,368.0,,,,,,,3.3154214559386976,n.f.,1.0699140748617912,n.f.,1.7333333333333334,,0.00864,0.00024000000000000006,0.008879999999999999,,,,,,,n.f.,,,n.f.,276159750.3144768,50067130.30510552,9.842860574864426,1.7844880813208404,,,,,13606.361521398892,,,,127413522.83784184,8743606.888321625,0.1,0.01,7.31,0.64,,,,
162,1998,1998-11-07 12:20:00,1998-11-07 08:20:00,11,7,,b'1998-11-07',1998.8497,-64.673,10.497,36,2,CAR,2,CAR-36,93HG_36,Cast 2: Nov 7; 1998.  in water 0820; on deck 0938,nan,390,394.0,,,,,,,8.396863026819924,n.f.,1.5990086079032673,n.f.,2.2,,0.01176,0.006,0.017759999999999998,,,,,,,n.f.,,,n.f.,207646835.1601218,57234635.27509958,7.4009295162148545,2.0399516382257192,,,,,9982.674174634583,,,,144947493.87057242,5260191.309819159,0.14,0.04,1.23,0.11,,,,
163,1998,1998-11-07 12:20:00,1998-11-07 08:20:00,11,7,,b'1998-11-07',1998.8497,-64.673,10.497,36,2,CAR,2,CAR-36,93HG_36,Cast 2: Nov 7; 1998.  in water 0820; on deck 0938,nan,415,418.0,,,,,,,9.329909003831418,n.f.,2.2085002764732318,n.f.,5.7333333333333325,,0.0096,0.00144,0.01104,,,,,,,n.f.,,,n.f.,212917059.4027645,59131916.00245094,7.588770366880206,2.1075743444652457,,,,,6347.297513848453,,,,128582454.24002388,15780573.929457474,0.03,0.02,1.02,0.27,,,,
164,1998,1998-11-07 12:20:00,1998-11-07 08:20:00,11,7,,b'1998-11-07',1998.8497,-64.673,10.497,36,2,CAR,2,CAR-36,93HG_36,Cast 2: Nov 7; 1998.  in water 0820; on deck 0938,nan,500,507.0,,,,,,,17.638134578544058,n.f.,6.189253946678322,n.f.,8.1,,0.00432,0.00072,0.00504,,,,,,,n.f.,,,n.f.,135971785.4601813,43637456.72908144,6.538382055011944,2.098364473468949,,,,,9982.674174634583,,,,94332764.15609024,4699104.236771782,0.01,0.01,0.37,0.11,,,,
165,1998,1998-11-07 12:20:00,1998-11-07 08:20:00,11,7,,b'1998-11-07',1998.8497,-64.673,10.497,36,2,CAR,2,CAR-36,93HG_36,Cast 2: Nov 7; 1998.  in water 0820; on deck 0938,nan,1300,1312.0,,,,,,,46.013709291187745,n.f.,12.421405300436714,n.f.,,,0.00168,0.0012,0.00288,,,,,,,n.f.,,,n.f.,148620323.64252374,39632086.304673,7.146603641524683,1.9057609710732493,,,,,3506.794206546105,,,,95267909.27783588,12273779.72291137,0.0,0.01,0.22,0.08,,,,
166,1998,1998-11-07 17:18:00,1998-11-07 13:18:00,11,7,,b'1998-11-07',1998.8497,-64.67,10.497,36,2,CAR,3,CAR-36,93HG_36,Cast 3: Nov 7; 1998.  in water 1318; on deck 1350,nan,7,7.0,,,,,,,,n.f.,,n.f.,3.95,,0.0276,0.09072000000000001,0.11832000000000001,,,,,,,n.f.,,,n.f.,522806244.8701545,82110093.70037305,17.057305980813815,2.67895995142217,,,,,1811.8436733821547,,,,4593900410.5753975,523681268.17755187,1.3,0.28,3.52,1.13,,,,
167,1998,1998-11-07 17:18:00,1998-11-07 13:18:00,11,7,,b'1998-11-07',1998.8497,-64.67,10.497,36,2,CAR,3,CAR-36,93HG_36,Cast 3: Nov 7; 1998.  in water 1318; on deck 1350,nan,15,15.0,,,,,,,,n.f.,,n.f.,2.9,,0.026160000000000003,0.058320000000000004,0.08448,,,,,,,n.f.,,,n.f.,475374226.6863703,79053363.6396403,15.50976813981256,2.5792297350020887,,,,,29936.333209881923,,,,4628968352.640861,580958906.8844715,0.59,0.31,3.89,0.09,,,,
168,1998,1998-11-07 17:18:00,1998-11-07 13:18:00,11,7,,b'1998-11-07',1998.8497,-64.67,10.497,36,2,CAR,3,CAR-36,93HG_36,Cast 3: Nov 7; 1998.  in water 1318; on deck 1350,nan,40,41.0,,,,,,,,n.f.,,n.f.,,,0.0216,0.00528,0.02688,,,,,,,n.f.,,,n.f.,510157706.68781203,90437048.00374848,16.644629223213478,2.9506388168423894,,,,,38107.16371113435,,,,3740580486.9825134,367044460.2851591,1.25,0.11,0.35,0.38,,,,
169,1998,1998-11-07 17:18:00,1998-11-07 13:18:00,11,7,,b'1998-11-07',1998.8497,-64.67,10.497,36,2,CAR,3,CAR-36,93HG_36,Cast 3: Nov 7; 1998.  in water 1318; on deck 1350,nan,200,203.0,,,,,,,,n.f.,,n.f.,2.566666666666667,,0.00072,0.005520000000000001,0.006240000000000001,,,,,,,n.f.,,,n.f.,121215157.58078176,49645512.365694106,4.171865140202067,1.7086508530740645,,,,,6347.297513848453,,,,181184367.33821547,11923100.30225676,0.06,0.03,0.0,0.0,,,,
170,1998,1998-11-07 17:18:00,1998-11-07 13:18:00,11,7,,b'1998-11-07',1998.8497,-64.67,10.497,36,2,CAR,3,CAR-36,93HG_36,Cast 3: Nov 7; 1998.  in water 1318; on deck 1350,nan,230,232.0,,,,,,,0.6626436781609197,n.f.,0.008690020103105673,a,3.7,,0.00744,0.0036,0.01104,,,,,,,n.f.,,,n.f.,113836843.64108202,32359176.84982609,3.917925522972377,1.1137066069930737,,,,,6347.297513848453,,,,260671702.6865939,28872605.633896276,0.03,0.01,,,,,,
171,1998,1998-11-07 17:18:00,1998-11-07 13:18:00,11,7,,b'1998-11-07',1998.8497,-64.67,10.497,36,2,CAR,3,CAR-36,93HG_36,Cast 3: Nov 7; 1998.  in water 1318; on deck 1350,nan,250,250.0,,,,,,,0.6374880268199234,n.f.,,n.f.,,,,,,,,,,,,n.f.,,,n.f.,118053023.0351962,41634771.51687722,4.207635054903878,1.4839427202562783,,,,,6347.297513848453,,,,278205673.7193244,32730079.26109699,0.03,0.01,0.0,0.0,,,,
172,1998,1998-11-07 19:35:00,1998-11-07 15:35:00,11,7,,b'1998-11-07',1998.8497,-64.675,10.5,36,2,CAR,4,CAR-36,93HG_36,Cast 4: Nov 7; 1998.  in water 1535; on deck 1658,nan,100,101.0,,,,,,,,n.f.,,n.f.,,,0.006719999999999999,0.00024000000000000006,0.006959999999999999,,,,,,,n.f.,,,n.f.,364304250.7726756,,11.885950362134626,,,,,,26197.213887152142,,,,,,0.1,0.01,,,,,,
173,1998,1998-11-07 19:35:00,1998-11-07 15:35:00,11,7,,b'1998-11-07',1998.8497,-64.676,10.495,36,2,CAR,4,CAR-36,93HG_36,Cast 4: Nov 7; 1998.  in water 1535; on deck 1658,nan,451,454.0,,,,,,,13.796180555555555,n.f.,3.4457338034953815,n.f.,3.6,,,,,,,,,,,n.f.,,,n.f.,,,,,,,,,7844.217315348625,,,,,,,,,,,,,
174,1998,1998-11-07 19:35:00,1998-11-07 15:35:00,11,7,,b'1998-11-07',1998.8497,-64.676,10.495,36,2,CAR,4,CAR-36,93HG_36,Cast 4: Nov 7; 1998.  in water 1535; on deck 1658,nan,750,756.0,,,,,,,35.231082375478934,n.f.,9.031314121557122,n.f.,,,,,,,,,,,,n.f.,,,n.f.,,,,,,,,,,,,,,,,,,,,,,
175,1998,1998-11-07 19:35:00,1998-11-07 15:35:00,11,7,,b'1998-11-07',1998.8497,-64.676,10.495,36,2,CAR,4,CAR-36,93HG_36,Cast 4: Nov 7; 1998.  in water 1535; on deck 1658,nan,946,954.0,,,,,,,36.99883860153256,n.f.,10.418556066546971,n.f.,,,,,,,,,,,,n.f.,,,n.f.,,,,,,,,,,,,,,,,,,,,,,
176,1998,1998-11-07 19:35:00,1998-11-07 15:35:00,11,7,,b'1998-11-07',1998.8497,-64.676,10.495,36,2,CAR,4,CAR-36,93HG_36,Cast 4: Nov 7; 1998.  in water 1535; on deck 1658,nan,1094,1103.0,,,,,,,45.377957375478935,n.f.,11.417914758397991,n.f.,,,,,,,,,,,,n.f.,,,n.f.,,,,,,,,,,,,,,,,,,,,,,
177,1998,1998-11-07 19:35:00,1998-11-07 15:35:00,11,7,,b'1998-11-07',1998.8497,-64.676,10.495,36,2,CAR,4,CAR-36,93HG_36,Cast 4: Nov 7; 1998.  in water 1535; on deck 1658,nan,1189,1199.0,,,,,,,46.53969109195403,n.f.,12.201373584210645,n.f.,,,,,,,,,,,,n.f.,,,n.f.,147039256.36973095,,7.070575943210592,,,,,,,,,,,,,,,,,,,
178,1998,1998-11-07 19:35:00,1998-11-07 15:35:00,11,7,,b'1998-11-07',1998.8497,-64.676,10.495,36,2,CAR,4,CAR-36,93HG_36,Cast 4: Nov 7; 1998.  in water 1535; on deck 1658,nan,1293,1305.0,,,,,,,47.417852011494254,n.f.,6.2259579889868535,n.f.,,,,,,,,,,,,n.f.,,,n.f.,,,,,,,,,,,,,,,,,,,,,,
179,1999,1999-05-07 18:06:00,1999-05-07 14:06:00,5,7,,b'1999-05-07',1999.3497,-64.667,10.501,42,3,CAR,1,CAR-42,93HG_42,Cast 1: 7 May 1999; in water 1406; on deck 1455,For this cruise; a blank of 2 micromoles per liter has been  subtracted from acetate  concentrations measured by GC,275,276.0,,,,,,,0.5,a,0.02328568470663653,n.f.,2.7,,0.00744,0.00096,0.008400000000000001,,,,,,,n.f.,,,n.f.,346406339.3841971,72430416.41669576,12.34658308071725,2.581558280513607,,,,,124349.50613510485,35777.5649896623,,,295447770.2905264,53955887.12752521,0.02,0.02,0.01,0.02,,,,
180,1999,1999-05-07 18:06:00,1999-05-07 14:06:00,5,7,,b'1999-05-07',1999.3497,-64.667,10.501,42,3,CAR,1,CAR-42,93HG_42,Cast 1: 7 May 1999; in water 1406; on deck 1455,For this cruise; a blank of 2 micromoles per liter has been  subtracted from acetate  concentrations measured by GC,285,284.0,,,,,,,0.0,a,0.07948807123886897,n.f.,1.0,,0.0156,0.00648,0.022080000000000002,,,,,,,n.f.,,,n.f.,341327067.54571915,159489135.72820804,12.165548138184741,5.684497195520848,,,,,126550.38234988546,25353.166557422563,,,261921782.17245248,34573675.24676373,0.05,0.0,0.07,0.11,,,,
181,1999,1999-05-07 18:06:00,1999-05-07 14:06:00,5,7,,b'1999-05-07',1999.3497,-64.667,10.501,42,3,CAR,1,CAR-42,93HG_42,Cast 1: 7 May 1999; in water 1406; on deck 1455,For this cruise; a blank of 2 micromoles per liter has been  subtracted from acetate  concentrations measured by GC,295,296.0,,,,,,,0.0,a,0.0858663504875428,n.f.,4.5,,0.015360000000000004,0.0019200000000000005,0.017280000000000004,,,,,,,n.f.,,,n.f.,275296533.6455056,61154432.93527468,9.8120938852621,2.179660708091433,,,,,124349.50613510485,29342.751142600733,,,267160217.81590152,27239865.345935054,0.02,0.0,0.03,0.02,,,,
182,1999,1999-05-07 18:06:00,1999-05-07 14:06:00,5,7,,b'1999-05-07',1999.3497,-64.667,10.501,42,3,CAR,1,CAR-42,93HG_42,Cast 1: 7 May 1999; in water 1406; on deck 1455,For this cruise; a blank of 2 micromoles per liter has been  subtracted from acetate  concentrations measured by GC,305,306.0,,,,,,,0.0,a,0.11288434496506085,n.f.,2.2,,0.01344,0.00072,0.01416,,,,,,,n.f.,,,n.f.,161520844.46359923,67351144.57821779,5.756911172533853,2.4005233379810966,,,,,293816.9746732124,50191.54800708019,,,1162932712.845689,283923211.8749385,0.04,0.01,0.07,0.05,,,,
183,1999,1999-05-07 18:06:00,1999-05-07 14:06:00,5,7,,b'1999-05-07',1999.3497,-64.667,10.501,42,3,CAR,1,CAR-42,93HG_42,Cast 1: 7 May 1999; in water 1406; on deck 1455,For this cruise; a blank of 2 micromoles per liter has been  subtracted from acetate  concentrations measured by GC,310,310.0,,,,,,,0.1,a,0.27560513486327715,n.f.,2.9,,0.044160000000000005,0.02352,0.06767999999999999,,,,,,,n.f.,,,n.f.,221456252.15763924,85941279.50704713,7.893123494417482,3.0631112276500865,,,,,191476.23068591367,36421.046374368445,,,726047180.1820383,170773001.97643903,0.05,0.02,0.95,0.13,,,,
184,1999,1999-05-07 18:06:00,1999-05-07 14:06:00,5,7,,b'1999-05-07',1999.3497,-64.667,10.501,42,3,CAR,1,CAR-42,93HG_42,Cast 1: 7 May 1999; in water 1406; on deck 1455,For this cruise; a blank of 2 micromoles per liter has been  subtracted from acetate  concentrations measured by GC,315,316.0,,,,,,,0.1,a,0.37202611764979787,n.f.,,,0.102,0.017519999999999997,0.11952000000000003,,,,,,,n.f.,,,n.f.,280375805.4839836,55770404.78648803,9.993128827794608,1.9877636690069715,,,,,220087.62147806172,44142.82299084233,,,542701932.6613215,163439192.07561034,0.18,0.01,9.34,0.13,,,,
185,1999,1999-05-07 22:25:00,1999-05-07 18:25:00,5,7,,b'1999-05-07',1999.3497,-64.666,10.498,42,3,CAR,2,CAR-42,93HG_42,Cast 2: 7 May 1999; in water 1825; on deck 1937,For this cruise; a blank of 2 micromoles per liter has been  subtracted from acetate  concentrations measured by GC,305,327.0,,,,,,,1.0,n.f.,0.4933576990389018,n.f.,4.6,,0.05616,0.00984,0.066,,,,,,,n.f.,,,n.f.,406341747.07823706,152378155.15433893,14.482795402600882,5.431048275975331,,,,,202480.6117598168,31401.89157366043,,,551083429.69084,169725314.8477492,0.24,0.03,14.36,1.65,,,,
